gen,id,name
2,100,TERU-SAMA
2,101,PNK APRICORN
2,102,BLACKGLASSES
2,103,SLOWPOKETAIL
2,104,PINK BOW
2,105,STICK
2,106,SMOKE BALL
2,107,NEVERMELTICE
2,108,MAGNET
2,109,MIRACLEBERRY
2,110,PEARL
2,111,BIG PEARL
2,112,EVERSTONE
2,113,SPELL TAG
2,114,RAGECANDYBAR
2,115,GS BALL
2,116,BLUE CARD
2,117,MIRACLE SEED
2,118,THICK CLUB
2,119,FOCUS BAND
2,120,TERU-SAMA
2,121,ENERGYPOWDER
2,122,ENERGY ROOT
2,123,HEAL POWDER
2,124,REVIVAL HERB
2,125,HARD STONE
2,126,LUCKY EGG
2,127,CARD KEY
2,128,MACHINE PART
2,129,EGG TICKET
2,130,LOST ITEM
2,131,STARDUST
2,132,STAR PIECE
2,133,BASEMENT KEY
2,134,PASS
2,135,TERU-SAMA
2,136,TERU-SAMA
2,137,TERU-SAMA
2,138,CHARCOAL
2,139,BERRY JUICE
2,140,SCOPE LENS
2,141,TERU-SAMA
2,142,TERU-SAMA
2,143,METAL COAT
2,144,DRAGON FANG
2,145,TERU-SAMA
2,146,LEFTOVERS
2,147,TERU-SAMA
2,148,TERU-SAMA
2,149,TERU-SAMA
2,150,MYSTERYBERRY
2,151,DRAGON SCALE
2,152,BERSERK GENE
2,153,TERU-SAMA
2,154,TERU-SAMA
2,155,TERU-SAMA
2,156,SACRED ASH
2,157,HEAVY BALL
2,158,FLOWER MAIL
2,159,LEVEL BALL
2,160,LURE BALL
2,161,FAST BALL
2,162,TERU-SAMA
2,163,LIGHT BALL
2,164,FRIEND BALL
2,165,MOON BALL
2,166,LOVE BALL
2,167,NORMAL BOX
2,168,GORGEOUS BOX
2,169,SUN STONE
2,170,POLKADOT BOW
2,171,TERU-SAMA
2,172,UP-GRADE
2,173,BERRY
2,174,GOLD BERRY
2,175,SQUIRTBOTTLE
2,176,TERU-SAMA
2,177,PARK BALL
2,178,RAINBOW WING
2,179,TERU-SAMA
2,180,BRICK PIECE
2,181,SURF MAIL
2,182,LITEBLUEMAIL
2,183,PORTRAITMAIL
2,184,LOVELY MAIL
2,185,EON MAIL
2,186,MORPH MAIL
2,187,BLUESKY MAIL
2,188,MUSIC MAIL
2,189,MIRAGE MAIL
2,190,TERU-SAMA
2,191,TM01
2,192,TM02
2,193,TM03
2,194,TM04
2,195,TERU-SAMA
2,196,TM05
2,197,TM06
2,198,TM07
2,199,TM08
2,200,TM09
2,201,TM10
2,202,TM11
2,203,TM12
2,204,TM13
2,205,TM14
2,206,TM15
2,207,TM16
2,208,TM17
2,209,TM18
2,210,TM19
2,211,TM20
2,212,TM21
2,213,TM22
2,214,TM23
2,215,TM24
2,216,TM25
2,217,TM26
2,218,TM27
2,219,TM28
2,220,TERU-SAMA
2,221,TM29
2,222,TM30
2,223,TM31
2,224,TM32
2,225,TM33
2,226,TM34
2,227,TM35
2,228,TM36
2,229,TM37
2,230,TM38
2,231,TM39
2,232,TM40
2,233,TM41
2,234,TM42
2,235,TM43
2,236,TM44
2,237,TM45
2,238,TM46
2,239,TM47
2,240,TM48
2,241,TM49
2,242,TM50
2,243,HM01
2,244,HM02
2,245,HM03
2,246,HM04
2,247,HM05
2,248,HM06
2,249,HM07
2,250,TERU-SAMA
2,251,TERU-SAMA
2,252,TERU-SAMA
2,253,TERU-SAMA
2,254,TERU-SAMA
2,255,TERU-SAMA
2,256,?
